id	year	area_ha	age_yrs
1	2024	7.00	1
2	2024	1.35	0.5
3	2024	3.82	0.5
4	2024	2.90	3
5	2024	1.49	0.5
6	2024	11.36	3
7	2024	1.81	3
8	2024	25.37	5
9	2024	0.19	1
10	2024	25.54	3
11	2024	25.54	3
12	2024	25.54	3
13	2024	25.54	3
14	2024	1.22	5
15	2024	9.14	2
16	2024	3.27	2
17	2024	1.64	1
18	2024	1.78	4
19	2024	26.17	4
20	2024	3.46	12
21	2024	15.53	2
22	2024	0.79	2
23	2024	0.60	21
24	2024	4.30	6
25	2024	0.24	21
26	2024	9.71	6
27	2024	0.37	21
28	2024	2.00	6
29	2024	22.45	4
30	2024	8.16	4
31	2024	6.59	5
32	2024	4.22	4
33	2024	8.45	3
34	2024	5.69	1
35	2024	8.08	1
36	2024	2.91	0.5
37	2024	1.75	1
38	2024	0.53	19
39	2024	4.90	2
40	2024	3.10	35
41	2024	3.00	5
42	2024	8.98	8
43	2024	16.22	1
44	2024	11.85	1
45	2024	15.93	1
46	2024	14.55	1
47	2024	8.44	1
48	2024	84.96	3
49	2024	10.44	3
50	2024	14.78	3
51	2024	13.72	3
52	2024	11.66	4
53	2024	5.86	1
54	2024	8.81	2
55	2024	42.17	1
56	2024	3.36	2
57	2024	26.30	4
58	2024	22.85	2
59	2024	15.23	12
60	2024	34.58	9
61	2024	19.26	29
62	2024	2.87	7
63	2024	5.43	2
64	2024	3.36	1
65	2024	3.41	1
66	2024	52.90	4
67	2024	2.73	2
68	2024	2.45	9
69	2024	2.51	2
70	2024	27.23	5
71	2024	14.45	1
72	2024	0.40	0.5
73	2024	11.02	6
74	2024	44.91	1
75	2024	44.91	1
76	2024	44.91	1
77	2024	44.91	1
78	2024	8.61	5
79	2024	0.56	4
80	2024	8.16	1
81	2024	31.45	3
82	2024	1.57	47
83	2024	12.85	3
84	2024	10.97	3
85	2024	20.03	2
86	2024	15.56	46
87	2024	4.49	0.5
88	2024	3.66	1
89	2024	2.16	1
90	2024	39.30	1
91	2024	2.97	5
92	2024	10.91	5
93	2024	10.65	3
94	2024	0.46	1
95	2024	65.64	6
96	2024	65.64	5
97	2024	9.71	4
98	2024	4.50	2
99	2024	9.86	3
100	2024	1.13	4
101	2024	0.70	1
102	2024	0.73	4
103	2024	5.16	2
104	2024	3.02	5
105	2024	0.02	46
106	2024	7.41	4
107	2024	1.56	3
108	2024	4.41	4
109	2024	1.86	4
110	2024	3.21	3
111	2024	0.75	3
112	2024	7.33	1
113	2024	25.52	6
114	2024	17.70	1
115	2024	19.00	1
116	2024	15.20	1
117	2024	15.10	1
118	2024	16.10	1
119	2024	10.50	1
120	2024	5.20	1
121	2024	15.50	1
122	2024	8.40	1
123	2024	17.20	1
124	2024	15.10	1
125	2024	17.20	1
126	2024	19.10	1
127	2024	15.90	1
128	2024	5.80	2
129	2024	2.05	5
130	2024	13.48	2
131	2024	3.23	2
132	2024	0.67	34
133	2024	6.27	3
134	2024	2.48	2
135	2024	1.15	2
136	2024	1.70	5
137	2024	0.30	2
138	2024	2.14	2
