,year,area_ha,age_yrs
258,2018,3.85,4
259,2018,4.09,8
260,2018,4.11549,3
261,2018,4.12,20
262,2018,4.3,2
263,2018,4.7,18
264,2018,4.8,6
265,2018,4.92,1
266,2018,6.48,8
267,2018,6.7,23
268,2018,6.83,3
269,2018,7.4,4
270,2018,7.63,27
271,2018,7.75,15
272,2018,8.4,14
273,2018,9.29,15
274,2018,10.46,14
275,2018,10.9,7
276,2018,11.7,22
277,2018,11.8,8
278,2018,12.4,7
279,2018,12.5,6
280,2018,12.6,28
281,2018,13.7,14
282,2018,14.04,7
283,2018,14.5,3
284,2018,14.8,21
285,2018,15.6,1
286,2018,15.7,8
287,2018,17.6,1
288,2018,18.8,23
289,2018,19.2,8
290,2018,19.49,7
291,2018,20.4,20
292,2018,22.9,4
293,2018,22.9,15
294,2018,23.04,1
295,2018,23.6,27
296,2018,31.2,3
297,2018,50.02,18
298,2018,54.01,20
299,2018,90.9,21
